City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,ulsteinvik,62.3432,5.8487,14.5,73,100,2.68,NO,1715421247
299,imbituba,-28.24,-48.6703,22.7,94,72,1.78,BR,1715421248
300,tulagi,-9.0996,160.1476,28.69,76,99,10.89,SB,1715421249
301,roma,43.2128,-75.4557,10.08,97,100,0.45,US,1715421083
302,lazaro cardenas,17.9583,-102.2,21.88,81,96,1.73,MX,1715421250
303,parras de la fuente,25.4167,-102.1833,19.94,88,40,5.66,MX,1715421251
304,gadzhiyevo,69.2551,33.3362,0.65,92,100,5.53,RU,1715421252
305,dunedin,-45.8742,170.5036,10.45,73,46,3.13,NZ,1715421253
306,tralee,52.2704,-9.7026,18.14,63,0,3.6,IE,1715421254
307,kozarska dubica,45.1767,16.8094,20.06,46,10,2.64,BA,1715421254
308,mhamid,29.82,-5.72,33.03,9,100,6.54,MA,1715421255
309,chonchi,-42.6128,-73.8092,5.07,95,54,0.71,CL,1715421256
310,kentville,45.0835,-64.4988,4.43,99,59,0.51,CA,1715421257
311,uray,60.1247,64.7758,6.6,65,100,7.6,RU,1715421258
312,puerto eldorado,-26.4084,-54.6946,21.01,100,93,0.36,AR,1715421259
313,usinsk,65.9939,57.5281,2.26,82,20,3.58,RU,1715421221
314,touros,-5.1989,-35.4608,26.02,80,97,3.95,BR,1715421261
315,akureyri,65.6835,-18.0878,7.96,81,40,0.0,IS,1715421262
316,loikaw,19.6742,97.2094,33.44,27,68,5.99,MM,1715421263
317,ambovombe,-25.1667,46.0833,28.24,44,0,2.68,MG,1715421264
318,tonghae,37.5439,129.1069,19.72,66,100,4.62,KR,1715421264
319,qamdo,31.1667,97.2333,8.69,33,100,0.13,CN,1715421265
320,flying fish cove,-10.4217,105.6791,27.82,83,100,5.66,CX,1715421266
321,karsun,54.1994,46.9827,10.98,80,99,7.21,RU,1715421267
322,ghanzi,-21.5667,21.7833,28.04,13,1,1.79,BW,1715421268
323,abalak,58.1286,68.5944,11.92,36,60,6.93,RU,1715421268
324,tazovsky,67.4667,78.7,-0.15,99,98,3.73,RU,1715421269
325,el granada,37.5027,-122.4694,16.38,87,100,4.12,US,1715421270
326,celestun,20.8667,-90.4,26.49,81,1,5.27,MX,1715421271
327,la passe,45.5549,-0.8967,24.45,66,1,3.93,FR,1715421272
328,al burayqah,30.4062,19.5739,20.19,64,0,5.01,LY,1715421273
329,north bondi,-33.8824,151.2769,16.94,94,75,5.66,AU,1715421273
330,antonio enes,-16.2325,39.9086,29.92,51,18,3.59,MZ,1715421274
331,kalmunai,7.4167,81.8167,31.09,68,100,4.16,LK,1715421275
332,puerto deseado,-47.7503,-65.8938,3.04,78,96,4.6,AR,1715421276
333,santa maria do suacui,-18.1903,-42.4142,20.76,95,91,0.38,BR,1715421277
334,port douglas,-16.4833,145.4667,23.5,81,11,5.5,AU,1715421278
335,egilsstadir,65.2653,-14.3948,12.95,67,0,5.14,IS,1715421278
336,letlhakeng,-24.0944,25.0298,28.92,13,2,1.77,BW,1715421279
337,eureka,40.8021,-124.1637,12.66,89,0,1.37,US,1715421280
338,kerns,46.9009,8.2765,20.4,62,0,2.57,CH,1715421281
339,ketchikan,55.3422,-131.6461,6.99,93,0,3.09,US,1715421270
340,balsas,-7.5325,-46.0356,21.62,61,91,1.72,BR,1715421283
341,constantia,44.1833,28.65,22.61,50,27,4.78,RO,1715421283
342,san fernando,15.0286,120.6898,32.85,45,76,4.55,PH,1715421284
343,kantagi,43.5264,68.5775,18.23,56,82,5.09,KZ,1715421285
344,portland,45.5234,-122.6762,18.16,74,0,1.54,US,1715420970
345,brisas de zicatela,15.8369,-97.0419,25.29,67,100,1.78,MX,1715421287
346,coron,11.9986,120.2043,29.21,65,61,2.2,PH,1715421288
347,ad dabbah,18.05,30.95,41.86,4,21,2.24,SD,1715421288
348,korsakov,46.6328,142.7813,6.91,78,100,5.42,RU,1715421289
349,yangirabot,40.0254,65.961,21.48,40,78,2.2,UZ,1715421290
350,tirumullaivasal,11.2333,79.8333,34.07,53,56,5.9,IN,1715421291
351,nova sintra,14.8667,-24.7167,23.78,77,67,10.9,CV,1715421292
352,codrington,-38.2667,141.9667,12.95,83,68,3.65,AU,1715421293
353,negotino,41.4839,22.0892,18.73,48,32,2.63,MK,1715421081
354,alofi,-19.0595,-169.9187,23.94,69,20,4.12,NU,1715421294
355,faya-largeau,17.9257,19.1043,40.02,10,7,9.04,TD,1715421295
356,swakopmund,-22.6833,14.5333,21.47,74,1,3.13,NA,1715421296
357,newman,37.3138,-121.0208,19.42,68,0,0.45,US,1715421263
358,kenai,60.5544,-151.2583,5.64,66,75,7.2,US,1715421298
359,ilheus,-14.7889,-39.0494,24.66,90,97,3.02,BR,1715421298
360,howrah,22.5892,88.3103,27.0,78,75,5.14,IN,1715421299
361,acapulco de juarez,16.8634,-99.8901,21.78,76,53,0.98,MX,1715421300
362,valle de la pascua,9.2155,-66.0073,24.75,86,98,1.57,VE,1715421301
